Date;DayOfWeek;Route;StudyDuration;StressLevelBefore;StressLevelAfter;StressLevelIncrease;SleepDuration;DaysUntilExam;IsExamDay;ExamPhase;CaffeineIntake
10.03.2025;Monday;Regular Study;5;6;7;1;7;5;No;Near;2
11.03.2025;Tuesday;Regular Study;5;7;8;1;7;4;No;Near;2
12.03.2025;Wednesday;Rest Day;0;4;5;1;8;3;No;Near;0
13.03.2025;Thursday;Exam Preparation;6;6;9;3;7;2;No;Imminent;3
14.03.2025;Friday;Regular Study;4;5;7;2;7;1;No;Imminent;2
15.03.2025;Saturday;Exam Day;0;8;10;2;6;0;Yes;Imminent;3
16.03.2025;Sunday;Rest Day;0;5;6;1;7;6;No;Near;1
17.03.2025;Monday;Regular Study;5;7;8;1;6;5;No;Near;2
18.03.2025;Tuesday;Regular Study;3;6;7;1;6;4;No;Near;2
19.03.2025;Wednesday;Rest Day;0;5;6;1;6;3;No;Near;1
20.03.2025;Thursday;Exam Preparation;6;7;10;3;6;2;No;Imminent;3
21.03.2025;Friday;Regular Study;5;7;9;2;6;1;No;Imminent;2
22.03.2025;Saturday;Exam Day;0;8;10;2;5;0;Yes;Imminent;3
23.03.2025;Sunday;Rest Day;0;4;5;1;7;5;No;Near;1
24.03.2025;Monday;Regular Study;4;6;7;1;6;4;No;Near;2
25.03.2025;Tuesday;Regular Study;4;5;7;2;6;3;No;Near;2
26.03.2025;Wednesday;Rest Day;0;4;5;1;7;2;No;Imminent;1
27.03.2025;Thursday;Exam Preparation;6;6;9;3;6;1;No;Imminent;3
28.03.2025;Friday;Exam Day;0;9;10;1;5;0;Yes;Imminent;3
29.03.2025;Saturday;Rest Day;0;4;5;1;7;7;No;Far;0
30.03.2025;Sunday;Regular Study;4;6;7;1;7;6;No;Near;2
31.03.2025;Monday;Regular Study;4;6;8;2;6;5;No;Near;2
1.04.2025;Tuesday;Exam Preparation;7;7;10;3;6;4;No;Near;3
2.04.2025;Wednesday;Exam Preparation;7;7;10;3;5;3;No;Near;3
3.04.2025;Thursday;Exam Preparation;7;8;11;3;5;2;No;Imminent;3
4.04.2025;Friday;Regular Study;4;7;8;1;5;1;No;Imminent;2
5.04.2025;Saturday;Exam Day;0;9;10;1;6;0;Yes;Imminent;3
6.04.2025;Sunday;Rest Day;0;4;5;1;6;4;No;Near;1
7.04.2025;Monday;Regular Study;5;7;9;2;6;3;No;Near;2
8.04.2025;Tuesday;Exam Preparation;7;8;11;3;6;2;No;Imminent;3
9.04.2025;Wednesday;Exam Preparation;7;8;11;3;6;1;No;Imminent;3
10.04.2025;Thursday;Exam Day;0;9;10;1;6;0;Yes;Imminent;3
